artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,in_train,new_filename
 Fyodor Solntsev,,sketch and study,1432.0,2000.0,1539104.0,wikiart,Romanticism,Royal and nobleman clothing of the XVII century,TRUE,23535.jpg
 Fyodor Solntsev,,sketch and study,1439.0,2000.0,828083.0,wikiart,Romanticism,Images of the VC. Vasily Dmitrievich and VC. Sofia Vitovtovna,TRUE,17555.jpg
 Fyodor Solntsev,,sketch and study,1450.0,2000.0,623320.0,wikiart,Romanticism,From the wedding of Tsar Mikhail Fedorovich,TRUE,100361.jpg
 Fyodor Solntsev,,sketch and study,1363.0,1900.0,240212.0,wikiart,Romanticism,Kiev province from village Kurenevka,TRUE,79132.jpg
 Fyodor Solntsev,,sketch and study,1300.0,1900.0,289305.0,wikiart,Romanticism,Man in armour of Tsar Alex,TRUE,50540.jpg
 Fyodor Solntsev,,sketch and study,1363.0,1900.0,256105.0,wikiart,Romanticism,Dress of the Kiev girls,TRUE,84795.jpg
 Fyodor Solntsev,,sketch and study,1445.0,2000.0,1450381.0,wikiart,Romanticism,Patriarchal ognennik.Clothes of Archer.,TRUE,6394.jpg
 Fyodor Solntsev,,sketch and study,1363.0,1900.0,275225.0,wikiart,Romanticism,Chernigov region from Kaliatinskiy farm,TRUE,56484.jpg
 Periklis Vyzantios ,,landscape,900.0,616.0,54149.0,wikiart,Impressionism,Libyan Sea,TRUE,15909.jpg
 Periklis Vyzantios ,,still life,900.0,596.0,125838.0,wikiart,Post-Impressionism,Still life,TRUE,85448.jpg
 Periklis Vyzantios ,,marina,524.0,653.0,116207.0,wikiart,Post-Impressionism,Boat with sails,TRUE,100764.jpg
 Periklis Vyzantios ,,portrait,530.0,653.0,117693.0,wikiart,Impressionism,Portrait of a girl,TRUE,82133.jpg
 Periklis Vyzantios ,,cityscape,900.0,691.0,191858.0,wikiart,Post-Impressionism,Hydra,TRUE,39109.jpg
 Periklis Vyzantios ,1914.0,portrait,800.0,577.0,105862.0,wikiart,Impressionism,Orel,TRUE,26734.jpg
 Periklis Vyzantios ,,genre painting,795.0,653.0,162285.0,wikiart,Post-Impressionism,Port,TRUE,74384.jpg
 Periklis Vyzantios ,1933.0,cityscape,900.0,675.0,143553.0,wikiart,Post-Impressionism,The square of Sparta,TRUE,79749.jpg
 Wassily Kandinsky,1913,abstract,556.0,650.0,134883.0,wikiart,Abstract Art,Improvisation 31 (Sea Battle),TRUE,57902.jpg
 Wassily Kandinsky,1921,abstract,967.0,981.0,821880.0,wikiart,Abstract Art,"Study for ""Circles on Black""",TRUE,61445.jpg
 Wassily Kandinsky,1932,abstract,727.0,578.0,29946.0,wikiart,Abstract Art,Decisive Pink,TRUE,35918.jpg
 Wassily Kandinsky,c.1910,allegorical painting,987.0,972.0,199646.0,wikiart,Expressionism,Two riders and reclining figure,TRUE,93664.jpg
 Wassily Kandinsky,1936,abstract,509.0,650.0,55298.0,wikiart,Abstract Art,White line,TRUE,29189.jpg
 Wassily Kandinsky,1922,abstract,450.0,526.0,85155.0,wikiart,Abstract Art,Small Worlds VII,TRUE,87538.jpg
 Wassily Kandinsky,1922,abstract,450.0,519.0,122223.0,wikiart,Abstract Art,Small Worlds VI,TRUE,51287.jpg
 Wassily Kandinsky,1939,abstract,1063.0,718.0,225563.0,wikiart,Abstract Art,Composition X,TRUE,89366.jpg
1,,figurative,618.0,899.0,152870.0,wikiart,Sōsaku hanga,Work 71,TRUE,86534.jpg
1,1990.0,abstract,974.0,360.0,22225.0,wikiart,Minimalism,Untitled (9,TRUE,79045.jpg
1,1986.0,abstract,677.0,504.0,28570.0,wikiart,Hard Edge Painting,X,TRUE,52812.jpg
1,1967.0,abstract,640.0,379.0,17825.0,wikiart,Pop Art,O Fantasma de Avignon,TRUE,4750.jpg
2,1996.0,abstract,840.0,432.0,23541.0,wikiart,Minimalism,Trinome (6,TRUE,63100.jpg
2,,abstract,776.0,360.0,20594.0,wikiart,Minimalism,Trinome (6,TRUE,28528.jpg
2,1993.0,abstract,629.0,432.0,12769.0,wikiart,Minimalism,Pauses (4,TRUE,102509.jpg
69,1969.0,abstract,640.0,433.0,21401.0,wikiart,Abstract Art,0.42,TRUE,48308.jpg
69,1969.0,abstract,500.0,330.0,39805.0,wikiart,Abstract Art,O41,TRUE,102880.jpg
Abanindranath Tagore,,symbolic painting,327.0,599.0,62719.0,wikipedia,,Ganesh-janani,TRUE,40761.jpg
Abanindranath Tagore,1906.0,figurative,556.0,402.0,80612.0,wikiart,,A Moonlight Music Party,TRUE,1651.jpg
Abanindranath Tagore,,history painting,640.0,481.0,86928.0,wikiart,,Emperor's March to Kashmir,TRUE,23901.jpg
Abanindranath Tagore,1902.0,history painting,403.0,600.0,100494.0,wikipedia,,The Passing of Shah Jahan,TRUE,82857.jpg
Abanindranath Tagore,,figurative,640.0,412.0,95582.0,wikiart,,Nishat,TRUE,76877.jpg
Abanindranath Tagore,,religious painting,640.0,462.0,86389.0,wikiart,,"Asoka, who by the white stucco of his fame made spotless the universe",TRUE,47803.jpg
Abanindranath Tagore,1913.0,animal painting,640.0,480.0,79379.0,wikiart,,Journey's End,TRUE,100446.jpg
Abanindranath Tagore,,religious painting,350.0,546.0,40397.0,wikiart,,Bharat Mata (Mother India),TRUE,56724.jpg
